ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
2012-04-30,2872070.97,2157289.853054325,1661628.1905937248,2610929.8000632245,Fitted,2064924.92,2287088.8949530832,12.0,11.840474463991121,2025-03-22 17:57:08
2012-05-31,2017235.18,2050611.7901010073,1601790.8984500112,2526087.687085866,Fitted,1387912.58,2151437.573986682,10.0,11.968892830542368,2025-03-22 17:57:08
2012-06-30,2030150.39,1898205.1011730277,1429377.4176461217,2402410.427986879,Fitted,2203039.23,2189194.25707727,9.0,12.334166414618434,2025-03-22 17:57:08
2012-07-31,2156175.11,2148286.297726471,1680643.2685759687,2623152.733152013,Fitted,1510063.18,2050016.8420663876,12.0,7.911866061082984,2025-03-22 17:57:08
2012-08-31,2104838.76,1762251.8405030426,1313450.1808673642,2207665.862130453,Fitted,2852607.3,2076819.3421482465,14.0,8.607956092922496,2025-03-22 17:57:08
2012-09-30,1239605.6,1650862.1090205093,1182595.796257693,2129494.9106499236,Fitted,2982185.85,2282969.590939525,8.0,11.397463124750693,2025-03-22 17:57:08
2012-10-31,1813201.08,1759053.070953173,1327864.8676196989,2210491.2401132137,Fitted,1831774.12,2110605.2214395367,9.0,11.660769185270569,2025-03-22 17:57:08
2012-11-30,1964663.18,1874974.5136574,1390587.7893163948,2349949.6623732345,Fitted,3229496.07,2403820.8118609767,14.0,11.418642169666438,2025-03-22 17:57:08
2012-12-31,1705037.78,1847879.9346649505,1380180.02046713,2299235.259631126,Fitted,3051046.44,1899162.0340365567,12.0,9.344361381406758,2025-03-22 17:57:08
2013-01-31,1654993.05,2097513.22818869,1647324.065203047,2573533.408339008,Fitted,1619809.81,2445445.5462761214,10.0,10.934286642148964,2025-03-22 17:57:08
2013-02-28,2364079.84,1975096.9291399273,1504121.7528079893,2420274.3509194343,Fitted,2386270.9,2322087.36839911,11.0,11.452841398778052,2025-03-22 17:57:08
2013-03-31,900197.95,2024124.8771785162,1581685.9714199656,2504348.219359342,Fitted,2377410.52,2506055.6586665213,10.0,13.23445712371169,2025-03-22 17:57:08
2013-04-30,2671204.95,2166419.831533074,1697231.169454808,2641868.183417168,Fitted,2164948.38,2310352.3858811925,13.0,12.34851320002895,2025-03-22 17:57:08
