ds,Actual_TOT_PAID,Prediction_TOT_PAID,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER
2016-09-30,2130952.88,1675176.3252294296,1559861.258,2437163.786271382,8.0,13.359961687379569
2016-10-31,1560746.86,1783356.5365426855,1926779.928,2264799.4317460437,13.0,13.623410287699931
2016-11-30,1751660.08,1899267.5754217329,3566603.692,2558015.036658953,16.0,13.38142121383842
2016-12-31,1247216.95,1872162.2458098563,1766605.264,2053356.2738091806,15.0,11.307282965379482
2017-01-31,2283660.72,2121784.788714219,3084823.166,2599639.801023328,14.0,12.897350765922315
2017-02-28,2065107.68,1999358.779090698,1569254.32,2476281.6367289233,8.0,13.416034272302511
2017-03-31,1561699.4,2048375.9761357633,1270808.493,2660249.942034658,6.0,15.197792541603157
2017-04-30,1501834.04,2190660.526303009,2755812.218,2464546.683802391,13.0,14.311986564082524
2017-05-31,2452080.04,2079226.9590232072,2387869.87,2351071.5248843157,21.0,14.402849557467505
2017-06-30,1977013.09,1933937.0562595632,2397063.113,2370605.8784290208,12.0,14.81617025938267
2017-07-31,2556370.52,2187976.648874034,3006947.783,2241747.6845254223,22.0,10.237055891075967
2017-08-31,1885803.17,1789704.1131388214,2672625.422,2269273.506085856,9.0,11.12163572280229
2017-09-30,1953280.92,1665602.5599304703,1497327.189,2484059.826688179,7.0,14.025082751082977
2017-10-31,1746813.75,1789969.6230861982,2256027.323,2319365.919805861,10.0,14.022458313567865
2017-11-30,1606243.9,1912220.991449944,2090420.503,2581022.6393120363,10.0,13.831719494494877
2017-12-31,1625741.69,1891395.2721505382,1267262.348,2084496.1713256694,8.0,11.647480963393278
2018-01-31,2697441.94,2119330.2402222464,3167225.47,2623097.8372152112,10.0,13.561617815377502
2018-02-28,1615646.79,1999364.9942862035,3607562.054,2534493.735428801,14.0,13.87350530521269
2018-03-31,2145538.1,2053714.200399496,2431429.333,2711463.9325335743,13.0,15.668872231149995
2018-04-30,2153008.87,2199678.096624112,3239678.403,2487597.9261539807,20.0,14.821513249124965
2018-05-31,2101930.5,2083560.8893855691,2203610.271,2396501.10697355,11.0,14.874474936487877
2018-06-30,2097268.44,1945467.5904660905,1983393.376,2397786.6083493535,19.0,15.334313567532195
2018-07-31,2592867.81,2202991.0447747223,1510168.665,2279565.9938492775,8.0,10.60276031101895
2018-08-31,2015054.33,1792509.4115117572,2221267.368,2307826.7883831607,19.0,11.677436120431185
2018-09-30,1222470.6,1656190.8373128974,2877683.088,2531025.0331250057,18.0,14.687211883413475
2018-10-31,2249711.87,1796983.4591803765,2263179.778,2373597.29809402,18.0,14.417372134084047
2018-11-30,1939409.96,1925340.2577133104,1731484.64,2603501.3916361798,5.0,14.280981166147884
2018-12-31,1482792.84,1910414.4247907475,2767227.89,2115850.3861934803,11.0,11.991907849070712
2019-01-31,2127225.02,2116474.977881707,3572884.661,2646877.1649314933,21.0,14.228209873889595
2019-02-28,2160835.26,1999505.8795515317,3358937.97,2593017.1924554906,10.0,14.329073944839696
2019-03-31,2860021.31,2059242.3290135872,4540530.886,2762163.110372595,15.0,16.13922288585783
2019-04-30,2311900.09,2208706.491320421,2690755.758,2510451.840079423,14.0,15.330847056900762
2019-05-31,2282023.7,2087970.5899578538,3335218.781,2441921.114079451,18.0,15.345724105438684
2019-06-30,2411533.35,1957133.0985591314,2082052.161,2424944.302524894,19.0,15.850712674306878
2019-07-31,2433979.15,2217655.1035720957,2530530.32,2317670.4688924956,8.0,10.971337475164415
2019-08-31,1665229.4,1795001.431196363,1925620.28,2346669.271254258,11.0,12.237604019028945
2019-09-30,1754382.48,1646961.09181071,1645811.62,2578043.573791365,9.0,15.34613596561414
2019-10-31,1695773.84,1804399.081328635,2581391.757,2427475.763723406,22.0,14.808229962976586
2019-11-30,2524529.51,1938613.4321433855,2037140.015,2625470.743911774,21.0,14.729341485148941
2019-12-31,2955954.39,1929205.5439617916,2556454.233,2147436.2782887,8.0,12.34070643672739
2020-01-31,1996322.15,2113229.271698093,2908845.533,2670991.7654149253,16.0,14.896953363130086
2020-02-29,1289924.83,2023409.323446318,2303483.028,2572601.463239421,19.0,14.924279313762044
2020-03-31,2616185.31,2067159.7364698858,2728605.27,2762733.2493315293,31.0,16.693571900250827
2020-04-30,2656716.48,2205591.140086653,2628696.512,2595477.893451923,15.0,15.769874115548205
2020-05-31,1516910.72,2098902.958408354,1940096.01,2459826.587459471,17.0,15.898435036840006
2020-06-30,982266.28,1946486.4771659868,2529772.455,2497583.285041024,17.0,16.263846577114904
2020-07-31,1229852.67,2196557.554994511,1186189.639,2358405.8850039444,8.0,11.84168877832008
2020-08-31,985374.84,1810512.978761374,2786112.2,2385208.4006693563,7.0,12.537921365009094
2020-09-30,1422751.82,1699113.454904351,3094625.371,2591358.6645857296,13.0,15.32756634970321
2020-10-31,1618674.85,1807294.2980501233,1612281.29,2418994.310715062,15.0,15.591014961516363
2020-11-30,1674978.67,1923205.9483799706,2372503.355,2712209.9162614266,15.0,15.349025898777786
2020-12-31,1541133.31,1896101.2506006262,2991259.893,2207551.1540663084,15.0,13.274887661811503
2021-01-31,2091456.27,2145724.4240339114,2419945.273,2753834.681884969,11.0,14.864955494919819
2021-02-28,2011336.87,2023298.9842991387,2147558.449,2630476.518029346,16.0,15.383639026324229
2021-03-31,1823234.14,2072316.8122925637,3074563.702,2814444.8238205155,13.0,17.16539732332956
2021-04-30,1694205.9,2214601.9730550456,2425264.835,2618741.5660581524,20.0,16.27959137261971
2021-05-31,2077831.93,2103169.0367235113,2520745.955,2505266.407625588,11.0,16.370454393711015
2021-06-30,1468225.88,1957879.7444453684,2725533.554,2524800.761727797,20.0,16.78377512376025
2021-07-31,1566813.21,2211919.968080701,2766974.401,2395942.568446476,12.0,12.20466078177255
2021-08-31,1434771.42,1813648.063366674,2297292.832,2423468.390629051,13.0,13.089240639814856
2021-09-30,2094795.68,1689547.1208238695,3165732.824,2638254.711833479,20.0,15.99268769356355
2021-10-31,2004625.36,1813914.8150005003,2340832.344,2473560.8055733484,5.0,15.990063282367753
2021-11-30,2174466.74,1936166.7940297348,3144961.21,2735217.5256817644,19.0,15.799324488763109
2021-12-31,2442210.88,1915341.7056448464,1478894.668,2238691.0583054484,7.0,13.61508598496303
2022-01-31,2330815.38,2143277.304631137,2716352.065,2777292.7248049406,10.0,15.529222864248139
2022-02-28,2421085.36,2023312.62855339,2439887.732,2688688.623569664,17.0,15.841110378742247
2022-03-31,2514404.64,2077662.4655813496,2124246.626,2865658.821284225,20.0,17.636477331980426
2022-04-30,2446739.48,2223626.9723684005,2909220.885,2641792.8154949606,16.0,16.789118376376607
2022-05-31,2441604.89,2107510.396140122,2064729.91,2550695.997028938,10.0,16.842080088809972
2022-06-30,1925807.55,1969417.7078755463,2442759.869,2551981.499095772,23.0,17.301918744120503
2022-07-31,2033204.28,2226941.7931944127,1084939.88,2433760.885310133,4.0,12.570365512677654
2022-08-31,1928347.96,1816460.790941467,1887930.45,2462021.6805584575,19.0,13.645041347163389
2022-09-30,1548099.3,1680142.8273974173,3137573.98,2685219.925991534,26.0,16.654817134411857
2022-10-31,1858951.59,1820936.0802752096,2047855.362,2527792.1916748015,19.0,16.38497741015371
2022-11-30,1700787.46,1949293.489518825,3235523.19,2757696.2859192383,18.0,16.24858646533131
2022-12-31,2132207.16,1934368.2876642467,2131180.01,2270045.281201983,26.0,13.959513172135784
2023-01-31,2556658.3,2140429.4718229994,2607551.54,2801072.0606657113,14.0,16.195815220837954
2023-02-28,2066868.09,2023460.9434895425,3052788.58,2747212.0888448763,15.0,16.296679313360826
2023-03-31,2386457.31,2083198.0240194856,3042895.71,2916358.007487623,18.0,18.10682827826153
2023-04-30,2078173.5,2232662.7973419293,1022852.888,2664646.7379380995,10.0,17.298452468970837
2023-05-31,2325673.15,2111927.5273621334,3311208.47,2596116.0127067543,22.0,17.313329537830054
2023-06-30,1852175.06,1981090.6469791904,3080543.12,2579139.2018958083,21.0,17.81831812636274
2023-07-31,1921717.36,2241613.2833749224,2217186.32,2471865.369032108,16.0,12.938942947540651
2023-08-31,1446480.26,1818960.2423819762,3877192.63,2500864.1721623265,13.0,14.205209511727137
2023-09-30,2270045.94,1670919.901518905,3221570.367,2732238.475276342,26.0,17.31374147793905
2023-10-31,1786991.95,1828357.889510387,3113207.74,2581670.6658044197,22.0,16.775835495579496
2023-11-30,2000769.8,1962572.2388478909,2878958.81,2779665.6465695375,19.0,16.69694703737654
2023-12-31,2054317.8,1953164.3491397048,2104117.68,2301631.1815425004,10.0,14.308312009234989
2024-01-31,2576562.57,2137188.075349338,2843154.1,2825186.669264956,22.0,16.864558955918326
2024-02-29,2389917.93,2047368.1256694114,3079523.66,2726796.367647063,22.0,16.89188492552277
2024-03-31,1613714.32,2091118.5370769077,2926001.911,2916928.1543654334,23.0,18.66117753315365
2024-04-30,2487742.59,2229549.9391298406,2391873.556,2749672.799091659,22.0,17.73747976891073
