ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER,TOT_PAID_ADJUSTED,TOT_PAID_ADJUSTED_NEW_SLOPE,TOT_PAID_ADJUSTED_FINAL,BUDGET_AMT_LAG12,NBR_CASE_LAG11,TOT_PAID_ADJUSTED_LAGGED_FINAL
2013-04-30,2013,1,2671204.95,2164948.38,49,13,36,2957851.725260501,2999703.4428948946,2658138.994833673,2064924.92,30.0,2502095.797380433
2013-05-31,2013,2,1656952.45,1925505.81,32,14,18,1946558.5970385878,1936130.5331500361,1932213.6617526668,1387912.58,32.0,1781229.6347088926
2013-06-30,2013,3,1981714.48,1754634.66,42,13,29,2274279.9988166755,2280793.8114298224,2125228.724838781,2203039.23,41.0,2261207.242752784
2013-07-31,2013,4,2596199.19,1952435.36,37,12,25,2891724.080594763,2930157.2653436125,2473278.2773225657,1510063.18,68.0,2567320.0764216725
2013-08-31,2013,5,2160295.18,2236453.92,34,8,26,2458779.442372851,2474831.1331056496,2309237.348519718,2852607.3,46.0,2588156.310092918
2013-09-30,2013,6,1513882.32,1369729.94,32,8,24,1815325.954150938,1798113.6911935091,1696472.4797744032,2982185.85,35.0,2211539.186031962
2013-10-31,2013,7,1632396.88,3025887.28,60,25,35,1936799.8859290255,1925867.3359814708,2458641.8572178045,1831774.12,61.0,2112604.414037492
2013-11-30,2013,8,2294279.0,1421532.25,43,11,32,2601641.3777071135,2625078.455088739,2204634.8005628623,3229496.07,51.0,2811406.5875866837
2013-12-31,2013,9,2172848.61,1427626.49,35,11,24,2483170.3594852006,2500482.962392909,2086609.5110579696,3051046.44,33.0,2569358.0044307727
2014-01-31,2013,10,1644101.03,3507401.86,67,10,57,1957382.151263288,1947513.6215339017,2664280.7122563757,1619809.81,35.0,1877526.3392021577
2014-02-28,2013,11,1641647.36,1841224.41,55,13,42,1957887.8530413758,1948045.466057091,2078359.6767825042,2386270.9,27.0,2051634.6116601988
2014-03-31,2013,12,2156105.37,3266199.09,42,13,29,2475305.2348194635,2492211.2424604776,2684406.7693541097,2377410.52,49.0,2475323.322071665
2014-04-30,2014,1,2222263.14,2358043.45,54,11,43,2544422.376597551,2564901.4620839595,2534638.9099013163,2164948.38,32.0,2328725.839175854
2014-05-31,2014,2,1709731.4,2031113.489,51,15,36,2034850.0083756386,2028986.254840079,2147018.8872955097,1925505.81,42.0,2059055.4355583563
2014-06-30,2014,3,2056515.37,2094661.68,38,9,29,2384593.3501537256,2396809.9187196447,2256466.976905204,1754634.66,37.0,2156645.936995918
2014-07-31,2014,4,2167779.74,3607457.13,59,13,46,2498817.0919318134,2516938.567886346,2921453.9512756206,1952435.36,34.0,2255014.480277936
2014-08-31,2014,5,2164246.54,1138014.36,24,5,19,2498243.263709901,2516335.0750565804,1928512.6825489614,2236453.92,32.0,2325894.307662165
