ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
12/31/2020,1541133.31,1896101.251,1447667.946,2347551.461,Fitted,2991259.893,2207551.154,15,13.27488766,3/22/2025 16:08
1/31/2021,2091456.27,2145724.424,1672078.63,2601065.735,Fitted,2419945.273,2753834.682,11,14.86495549,3/22/2025 16:08
2/28/2021,2011336.87,2023298.984,1584448.354,2476712.073,Fitted,2147558.449,2630476.518,16,15.38363903,3/22/2025 16:08
3/31/2021,1823234.14,2072316.812,1604785.194,2525162.611,Fitted,3074563.702,2814444.824,13,17.16539732,3/22/2025 16:08
4/30/2021,1694205.9,2214601.973,1712932.981,2681046.623,Fitted,2425264.835,2618741.566,20,16.27959137,3/22/2025 16:08
5/31/2021,2077831.93,2103169.037,1635533.39,2542260.82,Fitted,2520745.955,2505266.408,11,16.37045439,3/22/2025 16:08
6/30/2021,1468225.88,1957879.744,1514295.523,2425036.196,Fitted,2725533.554,2524800.762,20,16.78377512,3/22/2025 16:08
7/31/2021,1566813.21,2211919.968,1739043.502,2681331.455,Fitted,2766974.401,2395942.568,12,12.20466078,3/22/2025 16:08
8/31/2021,1434771.42,1813648.063,1314672.775,2268405.537,Fitted,2297292.832,2423468.391,13,13.08924064,3/22/2025 16:08
9/30/2021,2094795.68,1689547.121,1235915.223,2137238.252,Fitted,3165732.824,2638254.712,20,15.99268769,3/22/2025 16:08
10/31/2021,2004625.36,1813914.815,1350709.318,2273239.82,Fitted,2340832.344,2473560.806,5,15.99006328,3/22/2025 16:08
11/30/2021,2174466.74,1936166.794,1485897.138,2385097.668,Fitted,3144961.21,2735217.526,19,15.79932449,3/22/2025 16:08
12/31/2021,2442210.88,1915341.706,1480208.964,2396650.589,Fitted,1478894.668,2238691.058,7,13.61508598,3/22/2025 16:08
1/31/2022,2330815.38,2143277.305,1677245.634,2597532.139,Fitted,2716352.065,2777292.725,10,15.52922286,3/22/2025 16:08
2/28/2022,2421085.36,2023312.629,1555062.713,2446171.68,Fitted,2439887.732,2688688.624,17,15.84111038,3/22/2025 16:08
3/31/2022,2514404.64,2077662.466,1610351.585,2559439.122,Fitted,2124246.626,2865658.821,20,17.63647733,3/22/2025 16:08
4/30/2022,2446739.48,2223626.972,1743095.826,2654226.872,Fitted,2909220.885,2641792.815,16,16.78911838,3/22/2025 16:08
5/31/2022,2441604.89,2107510.396,1647402.078,2559530.171,Fitted,2064729.91,2550695.997,10,16.84208009,3/22/2025 16:08
6/30/2022,1925807.55,1969417.708,1506372.384,2465563.731,Fitted,2442759.869,2551981.499,23,17.30191874,3/22/2025 16:08
7/31/2022,2033204.28,2226941.793,1788468.003,2673475.206,Fitted,1084939.88,2433760.885,4,12.57036551,3/22/2025 16:08
8/31/2022,1928347.96,1816460.791,1379470.047,2305775.352,Fitted,1887930.45,2462021.681,19,13.64504135,3/22/2025 16:08
9/30/2022,1548099.3,1680142.827,1208363.603,2164123.723,Fitted,3137573.98,2685219.926,26,16.65481713,3/22/2025 16:08
10/31/2022,1858951.59,1820936.08,1342661.667,2246817.893,Fitted,2047855.362,2527792.192,19,16.38497741,3/22/2025 16:08
11/30/2022,1700787.46,1949293.49,1505927.287,2442915.988,Fitted,3235523.19,2757696.286,18,16.24858647,3/22/2025 16:08
12/31/2022,2132207.16,1934368.288,1479995.461,2394868.383,Fitted,2131180.01,2270045.281,26,13.95951317,3/22/2025 16:08
1/31/2023,2556658.3,2140429.472,1665890.927,2632404.917,Fitted,2607551.54,2801072.061,14,16.19581522,3/22/2025 16:08
2/28/2023,2066868.09,2023460.943,1567553.065,2459634.39,Fitted,3052788.58,2747212.089,15,16.29667931,3/22/2025 16:08
3/31/2023,2386457.31,2083198.024,1611003.125,2518789.049,Fitted,3042895.71,2916358.007,18,18.10682828,3/22/2025 16:08
4/30/2023,2078173.5,2232662.797,1742831.888,2667962.959,Fitted,1022852.888,2664646.738,10,17.29845247,3/22/2025 16:08
5/31/2023,2325673.15,2111927.527,1659087.167,2582089.565,Fitted,3311208.47,2596116.013,22,17.31332954,3/22/2025 16:08
6/30/2023,1852175.06,1981090.647,1539495.628,2445066.626,Fitted,3080543.12,2579139.202,21,17.81831813,3/22/2025 16:08
7/31/2023,1921717.36,2241613.283,1784739.991,2714845.968,Fitted,2217186.32,2471865.369,16,12.93894295,3/22/2025 16:08
8/31/2023,1446480.26,1818960.242,1364244.527,2283236.256,Fitted,3877192.63,2500864.172,13,14.20520951,3/22/2025 16:08
9/30/2023,2270045.94,1670919.902,1219843.898,2123478.833,Fitted,3221570.367,2732238.475,26,17.31374148,3/22/2025 16:08
10/31/2023,1786991.95,1828357.89,1364037.748,2287610.086,Fitted,3113207.74,2581670.666,22,16.7758355,3/22/2025 16:08
