Sort_Order,Code,Group,Title,Note,ToD_1,ToD_2,ToD_3,Developed_Region,Least_Dev_Country,Sub_Saharan_Africa,Country_Code,Major_Area,M_Code,Region,R_Code
97,704,Country_or_Area,Viet Nam,,C,R,,No,No,No,704,Asia,935,South-Eastern Asia,920
98,5501,Region,Southern Asia,,,,,No,No,No,,Asia,935,Southern Asia,5501
99,4,Country_or_Area,Afghanistan,,B,,,No,Yes,No,4,Asia,935,Southern Asia,5501
100,50,Country_or_Area,Bangladesh,,B,R,,No,Yes,No,50,Asia,935,Southern Asia,5501
101,64,Country_or_Area,Bhutan,,B,,,No,Yes,No,64,Asia,935,Southern Asia,5501
102,356,Country_or_Area,India,,B,R,,No,No,No,356,Asia,935,Southern Asia,5501
103,364,Country_or_Area,Iran (Islamic Republic of),,B,R,,No,No,No,364,Asia,935,Southern Asia,5501
104,462,Country_or_Area,Maldives,,C,R,,No,No,No,462,Asia,935,Southern Asia,5501
105,524,Country_or_Area,Nepal,,B,R,,No,Yes,No,524,Asia,935,Southern Asia,5501
106,586,Country_or_Area,Pakistan,,B,R,,No,No,No,586,Asia,935,Southern Asia,5501
107,144,Country_or_Area,Sri Lanka,,B,R,,No,No,No,144,Asia,935,Southern Asia,5501
108,922,Region,Western Asia,,,,,No,No,No,,Asia,935,Western Asia,922
109,51,Country_or_Area,Armenia,,B,R,,No,No,No,51,Asia,935,Western Asia,922
110,31,Country_or_Area,Azerbaijan,(9),B,R,,No,No,No,31,Asia,935,Western Asia,922
111,48,Country_or_Area,Bahrain,,C,,,No,No,No,48,Asia,935,Western Asia,922
112,196,Country_or_Area,Cyprus,(10),B,,,No,No,No,196,Asia,935,Western Asia,922
113,268,Country_or_Area,Georgia,(11),B,,,No,No,No,268,Asia,935,Western Asia,922
114,368,Country_or_Area,Iraq,,C,R,,No,No,No,368,Asia,935,Western Asia,922
115,376,Country_or_Area,Israel,,B,R,,No,No,No,376,Asia,935,Western Asia,922
116,400,Country_or_Area,Jordan,,C,R,,No,No,No,400,Asia,935,Western Asia,922
117,414,Country_or_Area,Kuwait,,C,R,,No,No,No,414,Asia,935,Western Asia,922
118,422,Country_or_Area,Lebanon,,B,R,,No,No,No,422,Asia,935,Western Asia,922
119,512,Country_or_Area,Oman,,C,,,No,No,No,512,Asia,935,Western Asia,922
120,634,Country_or_Area,Qatar,,C,,,No,No,No,634,Asia,935,Western Asia,922
121,682,Country_or_Area,Saudi Arabia,,C,R,,No,No,No,682,Asia,935,Western Asia,922
122,275,Country_or_Area,State of Palestine,(12),B,,,No,No,No,275,Asia,935,Western Asia,922
123,760,Country_or_Area,Syrian Arab Republic,,C,R,,No,No,No,760,Asia,935,Western Asia,922
124,792,Country_or_Area,Turkey,,B,R,,No,No,No,792,Asia,935,Western Asia,922
125,784,Country_or_Area,United Arab Emirates,,C,R,,No,No,No,784,Asia,935,Western Asia,922
126,887,Country_or_Area,Yemen,,C,R,,No,Yes,No,887,Asia,935,Western Asia,922
127,908,Major_Area,Europe,,,,,No,No,No,,Major_Area,908,Europe,908
128,923,Region,Eastern Europe,,,,,No,No,No,,Europe,908,Eastern Europe,923
129,112,Country_or_Area,Belarus,,B,,,Yes,No,No,112,Europe,908,Eastern Europe,923
130,100,Country_or_Area,Bulgaria,,B,,,Yes,No,No,100,Europe,908,Eastern Europe,923
131,203,Country_or_Area,Czech Republic,,C,,,Yes,No,No,203,Europe,908,Eastern Europe,923
132,348,Country_or_Area,Hungary,,B,R,,Yes,No,No,348,Europe,908,Eastern Europe,923
