,Country_Code,Country_or_Area,C_Sort_Order,Major_Area,M_Code,M_Sort_Order,Region,R_Code,R_Sort_Order,Developed_Region,Least_Dev_Country,Sub_Saharan_Africa
164,630,Puerto Rico,200,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No
165,634,Qatar,121,Asia,935,71,Western Asia,922,108,No,No,No
166,410,Republic of Korea,85,Asia,935,71,Eastern Asia,906,78,No,No,No
167,498,Republic of Moldova,134,Europe,908,127,Eastern Europe,923,128,Yes,No,No
168,638,Réunion,20,Africa,903,7,Eastern Africa,910,8,No,No,Yes
169,642,Romania,135,Europe,908,127,Eastern Europe,923,128,Yes,No,No
170,643,Russian Federation,136,Europe,908,127,Eastern Europe,923,128,Yes,No,No
171,646,Rwanda,21,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes
172,654,Saint Helena,67,Africa,903,7,Western Africa,914,53,No,No,Yes
173,659,Saint Kitts and Nevis,201,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No
174,662,Saint Lucia,202,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No
175,666,Saint Pierre and Miquelon,236,Northern America,905,232,Northern America,905,232,Yes,No,No
176,670,Saint Vincent and the Grenadines,203,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No
177,882,Samoa,261,Oceania,909,238,Polynesia,957,256,No,No,No
178,674,San Marino,165,Europe,908,127,Southern Europe,925,153,Yes,No,No
179,678,Sao Tome and Principe,38,Africa,903,7,Middle Africa,911,29,No,Yes,Yes
180,682,Saudi Arabia,122,Asia,935,71,Western Asia,922,108,No,No,No
181,686,Senegal,68,Africa,903,7,Western Africa,914,53,No,Yes,Yes
182,688,Serbia,166,Europe,908,127,Southern Europe,925,153,Yes,No,No
183,690,Seychelles,22,Africa,903,7,Eastern Africa,910,8,No,No,Yes
184,694,Sierra Leone,69,Africa,903,7,Western Africa,914,53,No,Yes,Yes
185,702,Singapore,94,Asia,935,71,South-Eastern Asia,920,86,No,No,No
186,534,Sint Maarten (Dutch part),204,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No
187,703,Slovakia,137,Europe,908,127,Eastern Europe,923,128,Yes,No,No
188,705,Slovenia,167,Europe,908,127,Southern Europe,925,153,Yes,No,No
189,90,Solomon Islands,246,Oceania,909,238,Melanesia,928,242,No,Yes,No
190,706,Somalia,23,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes
191,710,South Africa,51,Africa,903,7,Southern Africa,913,47,No,No,Yes
192,728,South Sudan,24,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes
193,724,Spain,168,Europe,908,127,Southern Europe,925,153,Yes,No,No
194,144,Sri Lanka,107,Asia,935,71,Southern Asia,5501,98,No,No,No
195,275,State of Palestine,119,Asia,935,71,Western Asia,922,108,No,No,No
196,729,Sudan,44,Africa,903,7,Northern Africa,912,39,No,Yes,Yes
197,740,Suriname,229,Latin America and the Caribbean,904,180,South America,931,217,No,No,No
198,748,Swaziland,52,Africa,903,7,Southern Africa,913,47,No,No,Yes
199,752,Sweden,151,Europe,908,127,Northern Europe,924,139,Yes,No,No
200,756,Switzerland,179,Europe,908,127,Western Europe,926,170,Yes,No,No
201,760,Syrian Arab Republic,123,Asia,935,71,Western Asia,922,108,No,No,No
202,762,Tajikistan,75,Asia,935,71,Central Asia,5500,72,No,No,No
203,764,Thailand,95,Asia,935,71,South-Eastern Asia,920,86,No,No,No
204,807,The former Yugoslav Republic of Macedonia,169,Europe,908,127,Southern Europe,925,153,Yes,No,No
205,626,Timor-Leste,96,Asia,935,71,South-Eastern Asia,920,86,No,Yes,No
206,768,Togo,70,Africa,903,7,Western Africa,914,53,No,Yes,Yes
207,772,Tokelau,262,Oceania,909,238,Polynesia,957,256,No,No,No
208,776,Tonga,263,Oceania,909,238,Polynesia,957,256,No,No,No
209,780,Trinidad and Tobago,205,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No
210,788,Tunisia,45,Africa,903,7,Northern Africa,912,39,No,No,No
211,792,Turkey,124,Asia,935,71,Western Asia,922,108,No,No,No
212,795,Turkmenistan,76,Asia,935,71,Central Asia,5500,72,No,No,No
213,796,Turks and Caicos Islands,206,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No
214,798,Tuvalu,264,Oceania,909,238,Polynesia,957,256,No,Yes,No
215,800,Uganda,25,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes
216,804,Ukraine,138,Europe,908,127,Eastern Europe,923,128,Yes,No,No
217,784,United Arab Emirates,125,Asia,935,71,Western Asia,922,108,No,No,No
218,826,United Kingdom of Great Britain and Northern Ireland,152,Europe,908,127,Northern Europe,924,139,Yes,No,No
219,834,United Republic of Tanzania,26,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes
220,840,United States of America,237,Northern America,905,232,Northern America,905,232,Yes,No,No
221,850,United States Virgin Islands,207,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No
222,858,Uruguay,230,Latin America and the Caribbean,904,180,South America,931,217,No,No,No
223,860,Uzbekistan,77,Asia,935,71,Central Asia,5500,72,No,No,No
224,548,Vanuatu,247,Oceania,909,238,Melanesia,928,242,No,Yes,No
225,862,Venezuela (Bolivarian Republic of),231,Latin America and the Caribbean,904,180,South America,931,217,No,No,No
226,704,Viet Nam,97,Asia,935,71,South-Eastern Asia,920,86,No,No,No
227,876,Wallis and Futuna Islands,265,Oceania,909,238,Polynesia,957,256,No,No,No
228,732,Western Sahara,46,Africa,903,7,Northern Africa,912,39,No,No,No
229,887,Yemen,126,Asia,935,71,Western Asia,922,108,No,Yes,No
230,894,Zambia,27,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes
231,716,Zimbabwe,28,Africa,903,7,Eastern Africa,910,8,No,No,Yes
