Code,Year,Gender,Table_5,Table_6_RoC
380,1995-00,T,3.5687498236063346,-11.158705785322178
470,1995-00,T,3.864144514680291,-19.537368276695837
499,1995-00,T,,
620,1995-00,T,4.020940164653059,7.125239472097097
674,1995-00,T,2.0058332894677045,
688,1995-00,T,6.141815654763567,-8.557887168475297
705,1995-00,T,-0.39383272748319975,-41.00410419002064
724,1995-00,T,9.7062481965419,-6.160892268293186
807,1995-00,T,2.7825981130129094,-2.7781777350526053
926,1995-00,T,2.177835613677017,-6.939957499871535
40,1995-00,T,2.151842911263859,0.382736942997705
56,1995-00,T,-0.7341935033594991,-9.675310064297319
250,1995-00,T,0.6169469751490807,-3.9955412446538072
276,1995-00,T,3.7251921536907053,-10.446751383509167
438,1995-00,T,3.0230377353963527,
442,1995-00,T,2.0546457782318672,-0.43621693118735844
492,1995-00,T,0.6787590987673485,
528,1995-00,T,2.9015183397232485,9.164726248677676
756,1995-00,T,1.206129474837243,-8.480356302186602
904,1995-00,T,-0.35022790413064275,-41.21318304406496
915,1995-00,T,1.6762081522539694,-17.38424168591171
660,1995-00,T,4.057217140813488,
28,1995-00,T,5.470449353431933,
533,1995-00,T,6.0247594864045535,
44,1995-00,T,2.823733377833006,11.039210233365896
52,1995-00,T,1.6111767343450407,
535,1995-00,T,1.7425543799955243,
92,1995-00,T,3.6510758947872186,
136,1995-00,T,5.920194624293977,
192,1995-00,T,-7.701078442457407,-11.219346878192557
531,1995-00,T,,
212,1995-00,T,3.527526632038749,
214,1995-00,T,1.9001248430106927,-15.064743152085041
308,1995-00,T,4.157521583668425,
312,1995-00,T,2.18836934826081,
332,1995-00,T,2.7993427061125424,
388,1995-00,T,1.8803306303244574,11.982612980874448
474,1995-00,T,3.12949640459869,
500,1995-00,T,-5.720583590269627,
630,1995-00,T,0.979614506183681,
659,1995-00,T,6.471533862848222,
662,1995-00,T,6.438103215917944,
670,1995-00,T,0.8150855519263773,
534,1995-00,T,,
780,1995-00,T,-1.9347929639275996,
796,1995-00,T,4.948474840585719,
850,1995-00,T,0.8553246515147326,
916,1995-00,T,-3.187106479817163,-39.422102828396596
84,1995-00,T,1.7410248290093646,0.5500236915250322
188,1995-00,T,-3.166455096800125,-22.81645291071855
222,1995-00,T,-4.410205017504525,-105.59356777708655
320,1995-00,T,-23.54766600719801,-77.22338075715263
340,1995-00,T,-33.16747257219544,-152.54114698920694
484,1995-00,T,3.197723899853872,-18.020928110016055
558,1995-00,T,2.649109086099032,-13.703255037931255
591,1995-00,T,3.2646293833469753,5.035988567098112
931,1995-00,T,-0.12213521319924008,-37.92991704601731
32,1995-00,T,-0.6998476276404932,-21.7310382144935
68,1995-00,T,2.057913982188184,-15.260352484757203
76,1995-00,T,-1.5984629315894592,
152,1995-00,T,4.385286159467903,1.06065691277813
170,1995-00,T,0.4924701137967505,-11.526103318996805
218,1995-00,T,5.499938628218056,-1.7949667856885037
238,1995-00,T,4.128290732828063,
254,1995-00,T,1.77743274476585,
328,1995-00,T,6.083091889896096,
600,1995-00,T,-1.0974783305363354,-18.07952859532268
604,1995-00,T,3.1149177098321186,-0.7374110087322664
740,1995-00,T,4.223273628464795,
858,1995-00,T,-1.0001041219404188,-9.266977280446568
862,1995-00,T,-0.12456405860922298,-49.93641905216754
905,1995-00,T,3.816898261469183,-7.8636839770766365
60,1995-00,T,1.1556906743145932,
124,1995-00,T,2.4978169747283148,-6.400968420621231
304,1995-00,T,-1.60654713122116,
666,1995-00,T,1.9886779397637375,
840,1995-00,T,4.0367190983145615,-8.118718250172316
909,1995-00,T,1.3017676689085245,-3.6907750762052287
927,1995-00,T,1.3183753012659019,-2.9972634856906257
36,1995-00,T,1.0912845158526145,-3.1779638443099425
554,1995-00,T,2.851399342900276,2.549224652795523
928,1995-00,T,-0.576239664668392,-9.28787716999978
242,1995-00,T,-0.43858678221368413,
540,1995-00,T,2.5708074536451715,
598,1995-00,T,-5.788271424550297,-4.075845410117875
90,1995-00,T,-0.9659923823238779,
548,1995-00,T,1.2978800894337141,
954,1995-00,T,1.8494884258247433,
316,1995-00,T,0.5913488550819949,
296,1995-00,T,0.5326546513119796,
584,1995-00,T,4.901274038005936,
583,1995-00,T,-1.400386043294003,
520,1995-00,T,-1.6893413613909762,
580,1995-00,T,4.290148094526641,
585,1995-00,T,5.68403213972274,
957,1995-00,T,1.742490751292125,
16,1995-00,T,1.512071627974935,
184,1995-00,T,0.7238955055640315,
258,1995-00,T,1.3424929767380573,
570,1995-00,T,0.736279462454328,
882,1995-00,T,4.90281965795971,
772,1995-00,T,-0.30303610041204443,
776,1995-00,T,2.3597327888823463,
798,1995-00,T,-3.845133572746101,
876,1995-00,T,3.636508039669574,
900,2000-05,T,2.042123832765301,-5.557223280786607
901,2000-05,T,2.5070802663846417,-7.2773794111666055
902,2000-05,T,1.3281073659923524,-4.561000330888476
941,2000-05,T,-0.5396362842953523,-4.541459035747553
934,2000-05,T,1.629339638854774,-4.319730641824886
947,2000-05,T,0.3391004739976188,-6.176903791693681
903,2000-05,T,0.5212980380237728,-5.953975969788049
910,2000-05,T,-0.41293204226001584,-2.491295638335326
108,2000-05,T,6.384756926331635,-11.817674031110696
174,2000-05,T,-0.8739542065538178,-12.988989404645087
262,2000-05,T,-1.749003163963945,-14.239600549360013
232,2000-05,T,1.9997572588214367,14.011684663883454
231,2000-05,T,-3.4606253578190893,-10.034433568868776
404,2000-05,T,1.5874727848042423,2.375355983513172
450,2000-05,T,2.031624819345879,
454,2000-05,T,-0.965140663193701,2.636874985359011
480,2000-05,T,4.686285568065307,
175,2000-05,T,6.575674962746655,
508,2000-05,T,0.9117454547737476,43.986555331973435
638,2000-05,T,2.673309489981774,
646,2000-05,T,4.414500395235234,9.07341023354078
690,2000-05,T,6.275374263859081,
706,2000-05,T,0.5722106808253168,-3.0492064475977356
728,2000-05,T,,
800,2000-05,T,0.5674190107544761,1.1047363271783712
834,2000-05,T,-3.714741329573422,-0.5968953746047705
894,2000-05,T,-4.791286713089441,-2.892765783898339
716,2000-05,T,-0.8645803717107711,2.3041176715327287
911,2000-05,T,1.8696583161346418,-0.6290834892658981
24,2000-05,T,5.705326870644288,-3.7556636723444474
120,2000-05,T,2.4957611516581957,-0.22399096710232605
140,2000-05,T,-5.368318800748669,-10.98756592916604
148,2000-05,T,24.23030006789438,30.67281189858459
178,2000-05,T,0.6601915025964057,-13.118939872267005
180,2000-05,T,-3.5644967416521274,-6.173038467208122
226,2000-05,T,7.5480351128585355,
266,2000-05,T,1.8125426282382162,-16.693041448138757
678,2000-05,T,-4.8036734963202115,
912,2000-05,T,-1.1301191485403943,-10.1619388568919
12,2000-05,T,-0.20681510611296308,-11.319865720848203
818,2000-05,T,9.14461703933352,42.58277854244721
434,2000-05,T,1.9392564911108336,-0.8879368257960669
504,2000-05,T,0.5008966522946454,-45.76087697829426
729,2000-05,T,-7.834155613395341,-12.884493236055722
788,2000-05,T,-0.7868289399134535,-7.961134164310018
732,2000-05,T,3.3616525359099327,
913,2000-05,T,3.269972789164203,-6.8729877607907
72,2000-05,T,8.85079456568882,-11.509357023375502
426,2000-05,T,0.39497149405986876,-0.3949714940598694
516,2000-05,T,-4.696441692372228,-28.033633662122213
710,2000-05,T,3.7914055515664775,9.796132638323181
748,2000-05,T,3.405062177342332,-1.4725254635609009
914,2000-05,T,0.786497828469462,-17.781360144924598
204,2000-05,T,4.975091876009989,1.7191194258851774
854,2000-05,T,2.7593280471412927,-5.140515247461059
132,2000-05,T,2.8251036537600838,
384,2000-05,T,0.16668431911746026,-21.456375620951608
270,2000-05,T,-0.06684619264416478,-8.074105499298886
288,2000-05,T,9.260915994102287,19.061407878619548
324,2000-05,T,-17.833682612550703,-20.282973453148262
624,2000-05,T,0.2777687536210696,-0.20146793095853827
430,2000-05,T,-11.098900314627318,-27.289415667436405
466,2000-05,T,6.080575996129695,-0.29664365975011814
478,2000-05,T,0.2608167888310892,11.55830800443687
562,2000-05,T,0.3568497843632273,32.5764952996859
566,2000-05,T,5.676928871494898,-1.3653854387320359
654,2000-05,T,3.6875411195210117,
686,2000-05,T,0.5442286966309,-0.0005092640172317571
694,2000-05,T,8.412833687869975,35.885303964223944
768,2000-05,T,7.7721543092343275,-13.26623130925942
935,2000-05,T,1.5704019062538135,-4.039499650615315
5500,2000-05,T,0.21041835351803947,-6.368752446975826
398,2000-05,T,1.5518450058016466,-19.344815518505598
417,2000-05,T,-4.3827740036264755,-5.353030216474918
762,2000-05,T,-1.2991749694406807,-52.98456887766586
795,2000-05,T,-0.5049057501380879,-2.906653924314077
860,2000-05,T,-1.1105776635617979,3.836539589920216
906,2000-05,T,2.8836617934805164,-2.7846584744883716
156,2000-05,T,5.799893881496625,-5.553482248149107
