C_Sort_Order,Country_or_Area,Note,Country_Code,Type_of_Data,T1_T_1990,T1_T_1995,T1_T_2000,T1_T_2005,T1_T_2010,T1_T_2015,T1_M_1990,T1_M_1995,T1_M_2000,T1_M_2005,T1_M_2010,T1_M_2015,T1_F_1990,T1_F_1995,T1_F_2000,T1_F_2005,T1_F_2010,T1_F_2015,Group
56,Cabo Verde,,132,B,8931,9979,11027,12700,14373.0,14924.0,4429,5091,5753,6523,7293.0,7547.0,4502,4888,5274,6177,7080.0,7377.0,Country_or_Area
57,Côte d'Ivoire,,384,C B,1816426,2076394,1994135,2010824,2095185.0,2175399.0,1011749,1150710,1104600,1113590,1160366.0,1204616.0,804677,925684,889535,897234,934819.0,970783.0,Country_or_Area
58,Gambia,,270,B,118123,150890,182514,181905,185763.0,192540.0,66306,82048,97138,96230,98086.0,101501.0,51817,68842,85376,85675,87677.0,91039.0,Country_or_Area
59,Ghana,,288,B,164851,252879,191601,304436,337017.0,399471.0,83030,127423,97279,159363,181558.0,217444.0,81821,125456,94322,145073,155459.0,182027.0,Country_or_Area
60,Guinea,,324,C R,403621,774505,560075,229611,205111.0,228413.0,201260,386537,279108,111738,100953.0,112583.0,202361,387968,280967,117873,104158.0,115830.0,Country_or_Area
61,Guinea-Bissau,,624,B R,15368,27961,20450,20736,21061.0,22333.0,7689,13833,10155,10298,10307.0,10826.0,7679,14128,10295,10438,10754.0,11507.0,Country_or_Area
62,Liberia,,430,B,94964,208563,151868,87188,99129.0,113779.0,53924,111647,82129,51183,56885.0,64879.0,41040,96916,69739,36005,42244.0,48900.0,Country_or_Area
63,Mali,,466,B R,160736,176187,189475,256797,336607.0,363145.0,82049,90871,97752,132244,172879.0,186111.0,78687,85316,91723,124553,163728.0,177034.0,Country_or_Area
64,Mauritania,,478,C R,111650,89562,57366,58119,84679.0,138162.0,57569,47015,31163,32588,48605.0,80230.0,54081,42547,26203,25531,36074.0,57932.0,Country_or_Area
65,Niger,,562,B R,115464,145999,122260,124461,126464.0,189255.0,55222,69751,58192,59170,60033.0,89731.0,60242,76248,64068,65291,66431.0,99524.0,Country_or_Area
66,Nigeria,,566,C R,456621,462999,487882,648019,920118.0,1199115.0,256166,258091,270211,357751,506367.0,657887.0,200455,204908,217671,290268,413751.0,541228.0,Country_or_Area
67,Saint Helena,(4),654,B,383,394,405,487,569.0,604.0,222,218,215,263,312.0,335.0,161,176,190,224,257.0,269.0,Country_or_Area
68,Senegal,,686,B R,270410,287654,231901,238298,256092.0,263242.0,138840,147165,121492,124854,135879.0,139689.0,131570,140489,110409,113444,120213.0,123553.0,Country_or_Area
69,Sierra Leone,,694,B R,222242,105374,98241,149615,97452.0,91213.0,123053,59683,54639,79638,53239.0,49962.0,99189,45691,43602,69977,44213.0,41251.0,Country_or_Area
70,Togo,,768,C R,84844,101583,137891,203379,255262.0,276844.0,42903,50727,69081,102877,129280.0,139298.0,41941,50856,68810,100502,125982.0,137546.0,Country_or_Area
71,Asia,,935,,48142261,46548225,49340815,53371224,65914319.0,75081125.0,26011875,25197522,26848671,29585231,38205140.0,43550416.0,22130386,21350703,22492144,23785993,27709179.0,31530709.0,Major_Area
72,Central Asia,,5500,,6630683,5890035,5183872,5238699,5262414.0,5393504.0,2972500,2635584,2315883,2408209,2488477.0,2596652.0,3658183,3254451,2867989,2830490,2773937.0,2796852.0,Region
73,Kazakhstan,,398,B,3619200,3245250,2871300,3102962,3334623.0,3546778.0,1666164,1494009,1321855,1473441,1625026.0,1758182.0,1953036,1751241,1549445,1629521,1709597.0,1788596.0,Country_or_Area
74,Kyrgyzstan,,417,B,623083,510296,389558,312897,231511.0,204382.0,260416,213277,162815,129544,94348.0,82616.0,362667,297019,226743,183353,137163.0,121766.0,Country_or_Area
75,Tajikistan,,762,B,428900,348347,299266,280444,278152.0,275059.0,188128,151957,131420,121381,120124.0,118597.0,240772,196390,167846,159063,158028.0,156462.0,Country_or_Area
76,Turkmenistan,,795,B,306500,273565,218498,213051,197979.0,196386.0,134174,118851,94168,94406,90600.0,91523.0,172326,154714,124330,118645,107379.0,104863.0,Country_or_Area
77,Uzbekistan,,860,B,1653000,1512577,1405250,1329345,1220149.0,1170899.0,723618,657490,605625,589437,558379.0,545734.0,929382,855087,799625,739908,661770.0,625165.0,Country_or_Area
78,Eastern Asia,,906,,3959345,4658475,5393081,6229524,7061814.0,7596693.0,2005886,2266526,2551555,2931331,3318241.0,3576788.0,1953459,2391949,2841526,3298193,3743573.0,4019905.0,Region
79,China,(5),156,C,376361,442198,508034,678947,849861.0,978046.0,191954,223018,254082,379920,505758.0,600136.0,184407,219180,253952,299027,344103.0,377910.0,Country_or_Area
80,"China, Hong Kong Special Administrative Region",(6),344,B,2218473,2443798,2669122,2721235,2779950.0,2838665.0,1124544,1175087,1225629,1185121,1147539.0,1119957.0,1093929,1268711,1443493,1536114,1632411.0,1718708.0,Country_or_Area
